Vest date,Grant date,Total vesting months,State 1,State 1 months,State 1 allocation %,State 1 top marginal,State 1 tax,State 2,State 2 months,State 2 allocation %,State 2 top marginal,State 2 tax,Vest gross,Total state tax
,,,,,,,,,,,,,,
EXAMPLE — Daniel CA→TX scenario,,,,,,,,,,,,,
2024-08-01,2022-08-15,24,CA,24,100%,13.3%,$2660,TX,0,0%,0%,$0,$20000,$2660
2024-11-01,2022-08-15,27,CA,24,88.9%,13.3%,$2365,TX,3,11.1%,0%,$0,$20000,$2365
2025-02-01,2022-08-15,30,CA,24,80.0%,13.3%,$2128,TX,6,20.0%,0%,$0,$20000,$2128
2025-05-01,2022-08-15,33,CA,24,72.7%,13.3%,$1934,TX,9,27.3%,0%,$0,$20000,$1934
2025-08-01,2022-08-15,36,CA,24,66.7%,13.3%,$1774,TX,12,33.3%,0%,$0,$20000,$1774
2025-11-01,2022-08-15,39,CA,24,61.5%,13.3%,$1636,TX,15,38.5%,0%,$0,$20000,$1636
2026-02-01,2022-08-15,42,CA,24,57.1%,13.3%,$1519,TX,18,42.9%,0%,$0,$20000,$1519
2026-05-01,2022-08-15,45,CA,24,53.3%,13.3%,$1418,TX,21,46.7%,0%,$0,$20000,$1418
,,,,,,,,,,,,,,
Total over 2024-2026 vests,,,,,,,,,,,,,,$15434
